1,R U B' R B R2 U' R' F R F'
1,R U' R2 D' r U' r' D R2 U R'
1,r U R' U R' r2 U' R' U R' r2 U2 r'
1,R U B' l U l' R' U' R' F R F'
1,r' U2 r2 R' U R' U' r2 R' U R' U r
1,L' U2 L2 F' L' F U2 L F' L' F
1,r' U' R U' r2 R U R U' r2 R U2 r
1,l F U' R U l' R' U' R' F R F'
1,R U B' R B R2 U' R' F R F' R R'
1,r U2 r2 R U' R U r2 R U' R U' r'
2,r U r' U2 R U2 R' U2 r U' r'
2,R' U2 r U' r' U2 r U r' U2 R
2,F R U r' U' R U R' M' U' F'
2,R U' R2 D' r U r' D R2 U R'
2,R' U2 L F' L' U2 L F L' U2 R
2,r U R' U2 R U2 r' U2 r U' r'
2,r' U' R U2 R' U2 r U2 r' U r
2,L U2 l' U l U2 l' U' l U2 L'
2,F R U R' U' F' U2 F U R U' R' F'
2,F R' F' R U2 F R' F' R2 U2 R'
2,F R U' R' F R U' R' U2 R U R' F' R U R' F'
2,R' U R2 D r' U' r D' R2 U' R
3,r' R2 U R' U r U2 r' U M'
3,r' R U R' F2 R U L' U L M'
3,F U R U' R' F' U F R U R' U' F'
3,r U2 R' U' R U' r' U r' U' R U' R' U2 r
3,M U l' U2 l U L' U L M'
3,M U R' F2 R U L' U L2 l'
3,f R U R' U' f' R' F' U' F U R
3,M' U r' U2 r U R' U R2 r'
3,f R U R' U' f' R' F' U' F U R
3,F R U R' U' F' R U R' F' U2 F R U R'
3,M R U R' U r U2 r' U M'
3,F R U R' U' F' U2 R' U' F' U F R
4,M U' r U2 r' U' R U' R2 r
4,F U R U' R' F' U' F R U R' U' F'
4,f R U R' d' l' F R U R' U' F'
4,r R2 U' R U' r' U2 r U' M
4,l L2 U' L U' l' U2 l U' M'
4,M' R' U' R U' r' U2 r U' M
4,M U' r U2 r' U' R U' R' M'
4,f' L' U' L U f U F' L' U' L U F
4,f R U R' U' f' r' U' F' U F r
4,M U' L F2 L' U' R U' R2 r
4,R U R' F' U2 F R U' R' F U R U' R' F'
4,F' L' U' L U F U' f R U R' U' f'
4,l L' U' L F2 L' U' R U' R' M'
5,R' F2 r U r' F R
5,F R U R' U' F' U' F R U R' U' F'
5,L' U' L2 F' L' F2 U' F'
5,B' R2 F R F' R B
5,r' U2 R U R' U r
6,r U2 R' U' R U' r'
6,l U2 L' U' L U' l'
6,R U R2 F R F2 U F
7,F R' F' R U2 R U2 R'
7,L' U2 L U2 L F' L' F
7,l U L' U L U2 l'
7,r U r' U R U' R' r U' r'
7,l' U2 L U2 l F' L' F
7,R U2 L' U2 L U2 R' L F' L' F
8,r' U' R U' R' U2 r
8,R U2 R' U2 R' F R F'
8,R' F' r U' r' F2 R
8,F' L F L' U2 L' U2 L
8,r' U' r U' R' U R r' U r
8,r U2 R' U2 r' F R F'
8,B' R' F R' F' R2 B
9,r' R2 U2 R' U' R U' R' U' M'
9,R' U' R U' R' U R' F R F' U R
9,L' U' L U' L F' L' F L' U2 L
9,R U2 r R2 U' R U' R' U M
9,F' U' F r U' r' U r U r'
9,R U2 R' M' U' R U' R' U M
9,R' U' F' U F U' R U' R' U2 R
9,R' U' R U' R B' R' B R' U2 R
9,M' U' R U2 R' U' R U' R' U' M
9,F R' F' R U2 R U' R' U R U' R' U R U2 R'
9,f' L' U' L U f U' L' U' L U' L' U2 L
10,L' U' L U L F' L2 U' L U F
10,M U R' U2 R U R' U R U M'
10,F U F' R' F R U' R' F' R
10,r R2 U2 R U R' U R U M
10,F U R U' R' d R' U R U2 R'
10,L' U2 L M' U L' U L U' M
10,r U R' U R U' R' U' r' R U R U' R'
10,F' L F L' U2 L' U L U' L' U L U' L' U2 L
10,R' U2 R M U R' U R U' M'
10,R' U2 R2 r' U R' U R U' M'
10,R' U' R U R U R' U' R' F R F' R' U R
10,R U R2 F' U' F R2 U' R2 U2 R
10,R' U' R U F R U R' U' F' R' U R
11,r' R2 U R' U R U2 R' U M'
11,y2 r U R' U R' F R F' R U2 r'
11,y F' L' U' L U F U F R U R' U' F'
11,y F' L' U' L U F U' F' L' U' L U F
11,y2 M' U2 R U R' U R U2 R' U' M
11,y F R U R' U' F' U r U R' U R U2 r'
11,y2 M' L U L' U L U2 L' U M
11,y2 F R2 D R' U R D' R2 U' R U R' U' F'
11,y2 M' R' U' R U' R' U2 R U' r' R
11,M L' U' L U' L' U2 L U' M'
11,y2 L' U L U' F U F' U2 L' U' L U' L' U' L
11,r2 F2 r U2 R U2 r' F2 r2 B' R' B
12,y' M' R' U' R U' R' U2 R U' M
12,y' r R2 U' R U' R' U2 R U' R r'
12,y M U2 R' U' R U' R' U2 R U M'
12,y l L2 U' L U' L' U2 L U' M'
12,y M L' U' L U' L' U2 L U' M'
12,y' l' U' L U' L F' L' F L' U2 l
12,y' R U R2 D' R U' R' D R2 U' R2 F R F'
12,y r' U' R U' l U' R' U l' U2 r
12,y' r R2 U' R U' R' U2 R U' M
12,y2 M' U R' U' R U' R' U2 R U M
12,y2 F U R U2 R' U R U R' U R U' R' F'
12,F R U R' d' L' F R U R' U' F'
12,y' R U' R' U F' U' F U2 R U R' U R U R'
12,y' R' F' r U' r U' r' F L' U2 l
12,y2 r U R' U F2 r U r' F U2 M
13,F U R U2 R' U' R U R' F'
13,F U R U' R2 F' R U R U' R'
13,L F' L' U' L F L' F' U F
13,y2 f R U R2 U' R' U R U' f'
13,y R U' L' U R' U2 L U L F' L' F
13,y2 l U' l' U' l U l' f' L f
13,y2 R' U' R U' r U R2 U R2 U2 r'
14,F' U' r' F r2 U r' U' r' F r
14,l' U l U l' U' l F U' F'
14,F' U' L' U2 L U L' U' L F
14,F' U' L' U L2 F L' U' L' U L
14,r U R' U' r' F R2 U R' U' F'
14,R U R' U r' U' R2 U' R2 U2 r
14,R' F R U R' F' R b L' b'
14,y2 r' U r U r' U' r f R' f'
14,y' L' U R U' L U2 R' U' R' F R F'
14,R' U' R F U R U' R' F' U' R' U R
14,F R U R' U' F2 r U R' U' r' F R
14,y' L' U R U' L U2 R' U' R' F R F'
14,y2 B' U' R' U2 R U R' U' R B
14,R U2 R' U2 R U' R' F' U' F R U R'
14,y' R' U' R F U R U' R' F' U' R' U R
15,y2 l' U' l L' U' L U l' U l
15,r' U' r R' U' R U r' U r
15,r' U' M' U' R U r' U r
15,y' R' U2 R U R' F U R U' R' F' R
15,y2 l' U' M U' L U l' U l
15,y2 R U2 R' U' R U R' U' R U R' U2 R' F R F'
15,y2 l' U' l L' U' L U R' F R
16,r U M U R' U' r U' r'
16,y2 l U l' L U L' U' l U' l'
16,y2 R' F R U R' U' F' R U' R' U2 R
16,R U R' U' R' U' R U R U' r' U' R' U r
16,y2 F R U R' U' F' R U2 R' U' R U' R'
16,L F L' R U R' U' L F' L'
17,y2 F R' F' R2 r' U R U' R' U' M'
17,f R U R' U' f' U' R U R' U' R' F R F'
17,R' F R U' M' U2 r' U' F' U R
17,y2 F U R U' R' F' U R U R' U' R' F R F'
17,y2 r U' r' F U2 F U' R U' R' F'
17,y2 L F' L' F U2 F U' R U' R' F'
17,y2 R U2 r' U' R U M' R' F2 r U r' F
17,y F U R U' R' U' R' F R F' R U R' F'
18,y R U2 R2 F R F' U2 M' U R U' r'
18,y2 F R U R' d R' U2 R' F R F'
18,F R' F' R U2 F R' F' R U' R U' R'
18,l' U' r' U2 L U2 L' U2 r U l
18,L F R U2 R' U2 R U2 R' F' L'
18,y2 R U R' U R' F R F' U2 r R' U R U' r'
18,y R U2 R' F' L' U2 L F R U2 R'
18,y' F R U R' U' F' f U R U' R' U R U' R' f'
18,y' F R U' R' U' R U R' F' U' F R U R' U' F'
18,y' F R U R' U' F' U2 F R U R' U' R U R' U' F'
18,y2 R2 D' r U r' D R2 r' U r U' r' U' r
18,y2 r' U' R U' R' U2 r2 U R' U R U2 r'
18,r' D R U R U R' U2 R' D' R U M'
19,r' R U R U R' U' r R2 F R F'
19,r' U2 R U R' U r2 U2 R' U' R U' r'
19,R' U2 F R U R' U' F2 U2 F R
19,F R U R' U' F' R U2 R2 F R F' R U2 R'
